,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
19,2012-02-29,Zoona,500000,Debt Financing,Mennonite Economic Development Associates,Zambia,Zambia,"Mobile Money Transfer, Fintech",Financial Services
20,2012-04-01,Africa's Talking,20000,Seed,Better Ventures,Kenya,Kenya,"Developer APIs, Information Technology, Mobile, Telecommunications",Information Technology
21,2012-06-21,Paga,9000000,Series A,"Omidyar Network, Goodwell Investments, Capricorn Investment Group, Adlevo Capital, Acumen",Nigeria,Nigeria,"Money Transfer, Airtime, Bill Payments, and SME Business",Financial Services
23,2012-09-28,Zando,0,Series A,J.P. Morgan Asset Management,South Africa,South Africa,"E-Commerce, Fashion, Wearables",E-Commerce & Retail
24,2012-10-01,Bkam,0,Angel,Osman Ahmed Osman,Egypt,Egypt,"E-Commerce, Information Technology, Price Comparison",Information Technology
25,2012-10-01,Nomanini,600000,Series A,eVentues Africa Fund,South Africa,South Africa,"Mobile, Payments, Telecommunications",Financial Services
26,2012-10-01,Taskty,10000,Seed,Flat6Labs,Egypt,Egypt,"Services, Gigs",E-Commerce & Retail
27,2012-11-02,Zando,23000000,Series B,Summit Partners,South Africa,South Africa,"E-Commerce, Fashion, Wearables",E-Commerce & Retail
29,2012-12-01,M-KOPA,0,Series B,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
30,2013-01-01,Copia Global,0,Seed,"Savannah Fund, Opes Impact Fund, Data Collective DCVC",Kenya,Kenya,"Consumer Goods, Delivery, E-Commerce",E-Commerce & Retail
31,2013-01-01,Bkam,0,Series A,Jabbar Internet Group,Egypt,Egypt,"E-Commerce, Information Technology, Price Comparison",Information Technology
32,2013-01-01,Jumia Group,150000000,Series B,"Millicom Systems, Rocket Internet, MTN Group",Nigeria,Nigeria,"E-Commerce, Internet, Shopping Online",E-Commerce & Retail
33,2013-01-01,Konga,10000000,Series A,"Naspers Ventures, Kinnevik AB",Nigeria,Nigeria,"Retail, E-Commerce, Customer Service, Delivery Service, Online Shopping",E-Commerce & Retail
34,2013-02-02,PropertyPro Nigeria,240000,Seed,Spark,Nigeria,Nigeria,"E-Commerce, Internet, Real Estate",Real Estate
35,2013-02-09,Eneza Education,0,Seed,Savannah Fund,Kenya,Kenya,"Educational Content, Mobile Learning, E-Learning, Edtech",Education
36,2013-06-20,One Africa Media,20000000,Series A,Seek,South Africa,South Africa,"Advertising, Employment, Internet, Marketplace, Travel",E-Commerce & Retail
39,2013-08-12,Edfa3ly,0,Seed,Tamkeen capital,Egypt,Egypt,"Online trading, E-Shipping ",E-Commerce & Retail
40,2013-09-25,Elwafeyat,20000,Seed,Flat6Labs,Egypt,Egypt,"Events Management, Service Industry, Funeral Management",Media & Entertainment
41,2013-09-27,Eventtus,175000,Seed,"Vodafone Ventures, Cairo Angels",Egypt,Egypt,"Event Management, Event Apps, Conferences",Commercial & Professional Services
42,2013-11-12,Kopo Kopo,2600000,Series A,"Javelin Venture Partners,  Accion Venture Lab, Khosla Impact",Kenya,Kenya,"Enterprise Software, Financial Services, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications",Financial Services
43,2013-11-13,Wuzzuf,0,Seed,"Endure capital, 500 startups",Egypt,Egypt,"Information Services, Information Technology, Software, Web Development",Recruitment
44,2013-11-21,Paykind Inc,25000,Seed,Savannah Fund,Kenya,Kenya,"Fintech, Payment solutions",Financial Services
45,2013-12-01,Instabug,300000,Seed,"Flat6Labs, Middle East Venture Partners (MEVP), Georges Harik, Cairo Angels, Amr Awadallah, Ihab Hinnawi",Egypt,Egypt,"iOS, Mobile, Software",Software
46,2013-12-10,Tugende,300000,Angel,Undisclosed,Uganda,Uganda,"Car Sharing, Financial Services, Web Development, Asset Financing, Boda Boda",Financial Services
47,2013-12-13,Jobartis,169000,Seed,Undisclosed,Angola,Angola,"Human Resources, Internet, Recruiting",Commercial & Professional Services
48,2013-12-17,iROKOtv,8000000,Series D,"Tiger Global Management, Kinnevik AB, Rise Capital",Nigeria,Nigeria,"Online Media, Nollywood Movies, Online Movie and Music Streaming, African Music, Content Distribution, Technology, Subscription Video on Demand",Media & Entertainment
49,2014-01-03,Konga,25000000,Series B,"Naspers Ventures, Kinnevik AB",Nigeria,Nigeria,"Retail, E-Commerce, Customer Service, Delivery Service, Online Shopping",E-Commerce & Retail
50,2014-01-15,Africa Courier Express,715000,Seed,Undisclosed,Nigeria,Nigeria,"Freight Service, Logistics, Packaging Services",Transport & Logistics
51,2014-01-20,Jumo,0,Series A,Anthemis Group,South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
53,2014-02-04,Ampersand Electric Motorcycles,8400,Seed,"Startupbootcamp Smart Transportation & Energy Berlin, Startupbootcamp",Rwanda,Rwanda,"Automotive, Electric Vehicle, Emerging Markets, Transportation",Automotive
54,2014-02-06,M-KOPA,20000000,Debt Financing,Commercial Bank of Africa,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
55,2014-02-06,M-KOPA,10000000,Series C,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
57,2014-02-17,Cellulant,5500000,Series B,Velocity Capital Private Equity,Kenya,Kenya,"Mobile Payments, Digital Payments, eCommerce, FinTech, mobile commerce, Fintech Africa, BlockChain, and MobileMoney",Financial Services
58,2014-02-25,d.light,11000000,Series C,"DFJ, Omidyar Network, Nexus Venture Partners, Garage Technology Ventures, Acumen, Gray Ghost Ventures",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
59,2014-03-21,Zola Electric ,7000000,Series A,"SolarCity, Omidyar Network, Vulcan Capital",Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
60,2014-03-28,OneFi,750000,Seed,Undisclosed,Nigeria,Nigeria,"Consumer Lending, FinTech",Financial Services
61,2014-04-01,Nawah Scientific,250000,Seed,Undisclosed,Egypt,Egypt,"Biopharma, Biotechnology, Life Science",Healthcare & Pharma
62,2014-04-10,Mines,938000,Seed,XSeed Capital,Nigeria,Nigeria,"Microfinance, Distributed Systems, Machine Learning, Functional Programming, Parallel Programming, Microservices, and Metaprogramming.",Financial Services
63,2014-05-01,Umati Capital,0,Seed,Accion Venture Lab,Kenya,Kenya,"Fast-Moving Consumer Goods, Financial Services",Financial Services
64,2014-05-20,SPARK Schools,2700000,Series A,Pearson Ventures,South Africa,South Africa,International School,Education
65,2014-05-23,Takealot,100000000,Series C,Tiger Global Management,South Africa,South Africa,"E-Commerce, Logistics, Retail",E-Commerce & Retail
66,2014-05-29,BitPesa,650000,Seed,"Future Perfect Ventures, Firestartr, Digital Currency Group",Kenya,Kenya,"Blockchain, Cryptocurrencies, Exchange, Fintech",Financial Services
68,2014-06-16,Kiro'o Games,115000,Seed,Undisclosed,Cameroon,Cameroon,"Gaming, Mobile, Video Games",Media & Entertainment
69,2014-07-01,Yoco,1700000,Seed,CRE Venture Capital,South Africa,South Africa,"FinTech, Mobile Payments, Payments, Point of Sale, SaaS, Small and Medium Businesses",Financial Services
70,2014-07-08,BRCK,1200000,Seed,"Urban Us, Synergy Growth, Omvestments, Invested Development, Gary Scheft, Cheryl Heller",Kenya,Kenya,Networking and Hardware Design and Manufacuture,Commercial & Professional Services
71,2014-08-04,Nomanini,450000,Series B,Industrial Development Corporation,South Africa,South Africa,"Mobile, Payments, Telecommunications",Financial Services
72,2014-09-23,Andela,3000000,Seed,"Susa Ventures, Steve Case, SparkLabs Global Ventures, Rothenberg Ventures, Peak Ventures, Omidyar Network, Melo7 Tech Partners, Learn Capital, HIGHLINEvc, GSV AcceleraTE, Founder Collective, Chris Hughes, CRE Venture Capital, Arena Ventures",United States,United States,"Edtech, BPO, Recruitment, Software, Training",Commercial & Professional Services
73,2014-10-01,Vezeeta,4000000,Series A,Silicon Badia,Egypt,Egypt,"Healthcare, Internet, Marketplace, Medical, Paas, Saas",Healthcare & Pharma
75,2014-11-01,Yumamia,50000,Angel,Undisclosed,Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
76,2014-11-05,Paykind Inc,80000,Seed,500 Startups,Kenya,Kenya,"Fintech, Payment solutions",Financial Services
77,2014-11-05,Elwafeyat,80000,Seed,500 Startups,Egypt,Egypt,"Events Management, Service Industry, Funeral Management",Media & Entertainment
78,2014-11-26,Jumia Group,150000000,Series B,"Summit Partners, Rocket Internet, Orange, Millicom Systems, MTN Group, Goldman Sachs, CDC Group, AXA Group",Nigeria,Nigeria,"E-Commerce, Internet, Shopping Online",E-Commerce & Retail
79,2014-12-08,Zola Electric ,16000000,Series B,"Zouk Capital, Vulcan Capital, SolarCity, IFC Venture Capital Group",Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
80,2015-01-01,Taskty,0,Seed,Cairo Angels,Egypt,Egypt,"Services, Gigs",E-Commerce & Retail
82,2015-01-01,Copia Global,4000000,Seed,DOB Equity,Kenya,Kenya,"Consumer Goods, Delivery, E-Commerce",E-Commerce & Retail
83,2015-01-03,Fastvan,200000,Seed,Daud Nur,South Africa,South Africa,"Collaborative Consumption, Logistics, Shipping",Transport & Logistics
84,2015-01-06,Shelter Afrique,50000000,Debt Financing,KFW,Kenya,Kenya,"Banking, Financial Services, Real Estate",Financial Services
85,2015-01-15,CanGo,0,Seed,"SOSV, Carma Axlr8r",Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
86,2015-01-15,Jibu,1100000,Series A,Undisclosed ,Rwanda,Rwanda,"Health Care, Social Entrepreneurship, Water",Utilities and Telecommunication Services
88,2015-01-30,Tugende,780000,Seed,Undisclosed,Uganda,Uganda,"Car Sharing, Financial Services, Web Development, Asset Financing, Boda Boda",Financial Services
89,2015-02-02,M-KOPA,12500000,Series D,"LocalGlobe, Blue Haven Initiative, LGT Venture Philanthropy, Lundin Foundation",Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
90,2015-02-09,BitPesa,1100000,Seed,"Stephens Investment Management, Pantera Capital, Future Perfect Ventures, Digital Currency Group, Colle Capital Partners, Blockchain Capital",Kenya,Kenya,"Blockchain, Cryptocurrencies, Exchange, Fintech",Financial Services
91,2015-02-16,Africa Courier Express,2600000,Seed,"Savannah Fund, Interswitch, CRE Venture Capital",Nigeria,Nigeria,"Freight Service, Logistics, Packaging Services",Transport & Logistics
92,2015-02-19,DealDey Limited,5000000,Series B,"Rocket Internet, Kinnevik AB",Nigeria,Nigeria,"Internet, Local Business, Retail",E-Commerce & Retail
93,2015-02-20,M4JAM,0,Private Equity,"Tencent Holdings, Naspers",South Africa,South Africa,"Analytics, Big Data, Crowdsourcing, E-Commerce, Location Based Services, Mobile, Social Media",Information Technology
94,2015-03-13,Asoko Insight,0,Seed,Lateral Capital,Nigeria,Nigeria,"Company Information, Data Analysis, Business Development, Investment Research, Company Profiling, News & Analysis, Due Diligence, Africa, Market Research, private equity, and African Data",Media & Entertainment
96,2015-04-08,Konga,41000000,Series C,Naspers Ventures,Nigeria,Nigeria,"Retail, E-Commerce, Customer Service, Delivery Service, Online Shopping",E-Commerce & Retail
97,2015-04-10,One Africa Media,10000000,Pre-Series B,Seek,South Africa,South Africa,"Advertising, Employment, Internet, Marketplace, Travel",E-Commerce & Retail
99,2015-05-01,GoMyWay,175000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Car Sharing, Public Transportation, Ride Sharing",Transport & Logistics
100,2015-05-06,Sweepsouth,0,Seed,"Vinny Lingham, Newtown Partners, Africa Angels Network (AAN), Identity Development Fund (IDF)",South Africa,South Africa,"Home Improvement, Home Services, Internet",Commercial & Professional Services
101,2015-05-12,Kiro'o Games,240000,Seed,Undisclosed,Cameroon,Cameroon,"Gaming, Mobile, Video Games",Media & Entertainment
102,2015-05-18,SureGroup,300000,Seed,"GreenHouse Capital, CRE Venture Capital",Nigeria,Nigeria,"Rewards, Retail",E-Commerce & Retail
103,2015-06-01,Yumamia,400000,Seed,Undisclosed,Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
104,2015-06-09,Sendy,500000,Convertible Note,Yago Arbeloa,Kenya,Kenya,"Logistics, Deliveries, Courier, Packages, Food Delivery, E-Commerce, Mobile Apps, and On demand courier solutions",Transport & Logistics
105,2015-06-11,OneFi,10000000,Debt Financing,Net1 UEPS Technologies,Nigeria,Nigeria,"Consumer Lending, FinTech",Financial Services
107,2015-06-25,Andela,14000000,Series A,"Spark Capital, GV, International Finance Corporation, Susa Ventures, PlayFair Capital, GSV Acceleration, Arena Ventures, CRE Venture Capital, Golden Palm Investments, Future Perfect Ventures",United States,United States,"Edtech, BPO, Recruitment, Software, Training",Commercial & Professional Services
108,2015-07-19,MoneyFellows,20000,Seed,Startupbootcamp FinTech,Egypt,Egypt,"Credit, Financial Services, Software",Financial Services
109,2015-08-01,Fintec Labs,142000,Pre-Seed,"Daniel van Tonder, Willem van Zyl",South Africa,South Africa,"Banking, FinTech, Incubators",Financial Services
111,2015-08-18,Oolu,1000000,Seed,"Y Combinator, Investo",Senegal,Senegal,"Environmental Consulting, Financial Services, Renewable Energy, Solar",Energy & Environment Resources
112,2015-08-18,Afrostream,120000,Seed,Y Combinator,France,France,"Film, Media and Entertainment, Subscription Service",Media & Entertainment
113,2015-08-26,Wuzzuf,1700000,Series A,"Vostok New Ventures, Piton Capital, Endure Capital, 500 Startups",Egypt,Egypt,"Information Services, Information Technology, Software, Web Development",Recruitment
114,2015-09-01,Max.ng,0,Seed,"Techstars New York City Accelerator, Techstars",Nigeria,Nigeria,"Hyperlocal logistics, On-demand Delivery, Transportation, Delivery Services, E-Commerce Logsitics, Okada, and Moto-Taxi, Ride-Hailing",Transport & Logistics
115,2015-09-01,WhereIsMyTransport,900000,Seed,Infotech Ventures,South Africa,South Africa,"Public Transport Data, Professional Services",Transport & Logistics
116,2015-09-01,TalentBase,180000,Seed,Venture Garden Group,Nigeria,Nigeria,"Human Resources Technology, Human Resources Management Software, and Human Resources Consultation",Recruitment
117,2015-09-19,AJUA,0,Seed,Cross Culture Ventures,Kenya,Kenya,"Data, Insights, Mobile surveys, Mobile rewards, Voice of the Customer, NPS, Feedback Loop, Surveys, Health and Academic Research, Customer Feedback, Customer Loyalty, Net Promoter Score, NPS, Customer Acquisition, Customer Retention",Information Technology
118,2015-09-29,Max.ng,100000,Pre-Seed,"Right Side Capital Management, Amadeo Brenninkmeijer",Nigeria,Nigeria,"Hyperlocal logistics, On-demand Delivery, Transportation, Delivery Services, E-Commerce Logsitics, Okada, and Moto-Taxi, Ride-Hailing",Transport & Logistics
119,2015-09-30,Yoco,2400000,Angel ,"CRE Venture Capital, Greg Kidd, Robby Hilkowitz",South Africa,South Africa,"FinTech, Mobile Payments, Payments, Point of Sale, SaaS, Small and Medium Businesses",Financial Services
120,2015-10-06,Paga,13000000,Series B,"Omidyar Network, Goodwell Investments, Capricorn Investment Group, Adlevo Capital",Nigeria,Nigeria,"Money Transfer, Airtime, Bill Payments, and SME Business",Financial Services
121,2015-10-07,Afrostream,0,Venture Round,"ACE & Company, The Family, Cross Culture Ventures, Orange Digital Ventures",France,France,"Film, Media and Entertainment, Subscription Service",Media & Entertainment
122,2015-10-14,Kopo Kopo,2100000,Series B,"Accion Venture Lab, Bamboo Finance, Javelin Venture Partners",Kenya,Kenya,"Enterprise Software, Financial Services, Information Technology, Mobile Payments, Payments, Social Entrepreneurship, Telecommunications",Financial Services
123,2015-10-21,Nomanini,0,Series C,Undisclosed,South Africa,South Africa,"Mobile, Payments, Telecommunications",Financial Services
124,2015-10-22,Zola Electric ,25000000,Series C,"DBL Investors, Western Technology Investment, Vulcan Capital, Serious Change, Omidyar Network, Energy Access Ventures, Aster",Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
125,2015-10-30,Umati Capital,0,Series A,"Blue Haven Initiative, Lundin Foundation",Kenya,Kenya,"Fast-Moving Consumer Goods, Financial Services",Financial Services
126,2015-11-02,M-Tiba,1500000,Grant,Pfizer Foundation,Kenya,Kenya,"Health Care, mHealth, Wellness",Financial Services
127,2015-11-04,Sendy,1000000,Seed,Savannah Fund,Kenya,Kenya,"Logistics, Deliveries, Courier, Packages, Food Delivery, E-Commerce, Mobile Apps, and On demand courier solutions",Transport & Logistics
128,2015-11-17,Asoko Insight,1400000,Seed,"North Base Media, Lateral Capital, J.E. Berman Associates, CRE Venture Capital",Nigeria,Nigeria,"Company Information, Data Analysis, Business Development, Investment Research, Company Profiling, News & Analysis, Due Diligence, Africa, Market Research, private equity, and African Data",Media & Entertainment
129,2015-11-18,Travelbeta,2000000,Seed,Undisclosed,Nigeria,Nigeria,"E-Commerce, Tourism, Travel",E-Commerce & Retail
130,2015-11-18,Fintec Labs,355000,Seed,Q4 Investments (Pty) Ltd,South Africa,South Africa,"Banking, FinTech, Incubators",Financial Services
131,2015-12-01,Farmerline,0,Grant,Pitch@Palace,Ghana,Ghana,"Agtech, Data Analytics",Agriculture
132,2015-12-02,M-KOPA,19000000,Venture Round,"Revolution, Virgin Group, Generation Investment Management, Jean Case",Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
133,2015-12-09,Powerhive,12000000,Venture Round,Enel Green Power,Kenya,Kenya,"Cloud Computing, Energy, SaaS, Software, Solar",Energy & Environment Resources
135,2015-12-16,Eventerprise,400000,Seed,Undisclosed,South Africa,South Africa,"Cloud Data Services, E-Commerce Platforms, Event Management, Events, SaaS, Subscription Service",E-Commerce & Retail
136,2015-12-17,OkHi,750000,Seed,"Garage Technology Ventures, Patrick Pichette, Garage Capital",Kenya,Kenya,"Apps, Logistics, Supply Chain Management",Transport & Logistics
137,2015-12-22,Off Grid Electric,5000000,Grant,United States Agency for International Development (USAID),0,0,Privately Held,Renewables & Environment
138,2016-01-01,Ousta,300000,Seed,"Omar Salah, Nader El-Batrawi",Egypt,Egypt,"Railroad, Transportation, Travel",Transport & Logistics
139,2016-01-01,Werpx,30000,Seed,"Yakout Sallam, Mahmoud Barakat",Egypt,Egypt,"Artificial Intelligence, Big Data, Consumer, Delivery, Grocery, Predictive Analytics, Retail, Software, Supply Chain Management",E-Commerce & Retail
140,2016-01-08,BRCK,3000000,Venture Round,"Jean and Steve Case, Jim Sorenson, TED, MKS Alternative Investments, Synergy Energy ",Kenya,Kenya,Networking and Hardware Design and Manufacuture,Commercial & Professional Services
141,2016-01-10,PayGo Energy,0,Grant,D-Prize,Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
142,2016-01-13,Mines,2200000,Seed,"XSeed Capital, Nyca Partners, GreenHouse Capital, First Ally Capital, FinTech Collective",Nigeria,Nigeria,"Microfinance, Distributed Systems, Machine Learning, Functional Programming, Parallel Programming, Microservices, and Metaprogramming.",Financial Services
143,2016-01-20,OMG Digital,0,Seed,Y Combinator,Ghana,Ghana,"Digital Marketing, Marketing, Social Media Management",Media & Entertainment
144,2016-01-25,SweepSouth,600000,Seed,"Vumela Fund,  Vinny Lingham, Llew Claasen’s Newtown Partners",South Africa,South Africa,"Home Improvement, Home Services, Internet",Commercial & Professional Services
145,2016-01-26,Powerhive,20000000,Series A,"Caterpillar Ventures, Prelude Ventures, Total Energy Ventures, Tao Capital Partners, Pi Investments",Kenya,Kenya,"Cloud Computing, Energy, SaaS, Software, Solar",Energy & Environment Resources
146,2016-01-26,iROKOtv,19000000,Series E,"Kinnevik AB, Canal+",Nigeria,Nigeria,"Online Media, Nollywood Movies, Online Movie and Music Streaming, African Music, Content Distribution, Technology, Subscription Video on Demand",Media & Entertainment
147,2016-01-28,mPharma,5000000,Seed,"Golden Palm Investments Holding Co., Olive Tree Ventures, Social Capital ",Ghana,Ghana,"Health Care, Information Technology, Management Information Systems, Digital Healthcare",Healthcare & Pharma
149,2016-02-03,TravelStart,40000000,Series A,"Amadeus Capital Partners, MTN Group",South Africa,South Africa,"Flights, Hotels, Car Hire, Package Holidays, Travel Tech, e-commerce, Technology, and Travel",Travel & Leisure
150,2016-02-24,Hepstar,2000000,Seed,Amadeus Capital Partners,South Africa,South Africa,"FinTech, Information Technology, Insurance, InsurTech, Travel",Financial Services
151,2016-02-24,Twiga Foods,1000000,Convertible Note,1776 Ventures,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
152,2016-02-29,BitPesa,1500000,Venture Round,BitFury Capital,Kenya,Kenya,"Blockchain, Cryptocurrencies, Exchange, Fintech",Financial Services
153,2016-03-01,Eventtus,450000,Seed,"Middle East venture Partners, vodafone Ventures, Raed VC",Egypt,Egypt,"Event Management, Event Apps, Conferences",Commercial & Professional Services
154,2016-03-03,Jumia Group,400000000,Series C,"Rocket Internet, MTN Group, Orange, Goldman Sachs, CDC Group, AXA Group",Nigeria,Nigeria,"E-Commerce, Internet, Shopping Online",E-Commerce & Retail
155,2016-03-04,Giraffe,500000,Seed,Seedstars,South Africa,South Africa,"Analytics, Recruitment, Artificial Intelligence",Recruitment
156,2016-03-09,Ma3Route,25000,Seed,EchoVC Partners,Kenya,Kenya,"Crowdsourcing, Mobile, SMS",Social Network
157,2016-03-15,PayGo Energy,0,Convertible Note,Village Capital,Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
158,2016-03-17,S&T Media,1000000,Seed,EchoVC Partners,Nigeria,Nigeria,"Advertising, Media, and Digital Platforms, Marketing",Media & Entertainment
159,2016-03-17,Mvelani,57000,Angel,Undisclosed,Malawi,Malawi,"Music, Streaming, Video",Media & Entertainment
160,2016-03-22,Instabug,120000,Seed,Y Combinator,Egypt,Egypt,"iOS, Mobile, Software",Software
161,2016-03-29,Max.ng,1000000,Seed,Undisclosed,Nigeria,Nigeria,"Hyperlocal logistics, On-demand Delivery, Transportation, Delivery Services, E-Commerce Logsitics, Okada, and Moto-Taxi, Ride-Hailing",Transport & Logistics
162,2016-04-04,SafeBoda,227000,Convertible Note,Global Inovation Fund (GIF),Uganda,Uganda,"Apps, Consumer, Transportation",Transport & Logistics
163,2016-04-08,Custos Media Technologies,265000,Venture Round,Digital Currency Group,South Africa,South Africa,"Digital Watermarking, Content Protection, Blockchain",Security
164,2016-04-11,Fastvan,150000,Seed,Undisclosed,South Africa,South Africa,"Collaborative Consumption, Logistics, Shipping",Transport & Logistics
165,2016-04-28,African Leadership Academy,23500000,Series A,Undisclosed,South Africa,South Africa,"E-Learning, Education, Tutoring",Education
166,2016-04-29,OMG Digital,120000,Seed,Y Combinator,Ghana,Ghana,"Digital Marketing, Marketing, Social Media Management",Media & Entertainment
167,2016-05-01,PayGo Energy,0,Grant,Catalyst Fund,Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
168,2016-05-04,Jumo,0,Private Equity,LeapFrog Investments,South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
169,2016-05-11,ThisIsMe,2500000,Venture Round,Undisclosed,South Africa,South Africa,"Cloud Computing, Identity Management, Information Services, Internet",Information Technology
170,2016-05-17,M-KOPA,4000000,Debt Financing,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
171,2016-05-24,SolarNow,2000000,Debt Financing,SunFunder,Uganda,Uganda,"Solar PV (Solar Home Systems), Rural Off-grid markets in Africa, Financing, and Distribution",Energy & Environment Resources
172,2016-05-24,delvv.io,127000,Seed,Kevin Gaskell,South Africa,South Africa,"Advertising, Information Technology, Product Research",Media & Entertainment
173,2016-05-25,Expensya,0,Seed,Undisclosed,Tunisia,Tunisia,"Accounting, Financial Services, Mobile Apps, FInance Management",Financial Services
174,2016-05-30,Ampersand Electric Motorcycles,37000,Pre-Seed,Undisclosed,Rwanda,Rwanda,"Automotive, Electric Vehicle, Emerging Markets, Transportation",Automotive
175,2016-06-01,Snapt,1000000,Seed,Convergence Partners,South Africa,South Africa,"Load Balancing, Development, Linux, ADC, Application Delivery Controller, Load Balancer, WAF, Web Accelerator, Devops, Application Delivery, and SAAS",Information Technology
176,2016-06-01,Yumamia,500000,Seed,Faden Media,Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
177,2016-06-05,Ampersand Electric Motorcycles,20000,Pre-Seed,Factor E Ventures,Rwanda,Rwanda,"Automotive, Electric Vehicle, Emerging Markets, Transportation",Automotive
178,2016-06-06,Instabug,1700000,Seed,"Accel, Amr Awadallah, Jim Payne, Sharif El-Badawi",Egypt,Egypt,"iOS, Mobile, Software",Software
179,2016-06-07,Sokowatch,0,Grant,SpeedUPAfrica,Kenya,Kenya,"Distribution, Data, Emerging Markets, Logistics, and E-Commerce",Transport & Logistics
180,2016-06-07,Chalkboard Education,0,Grant,SpeedUp Africa,Ghana,Ghana,"E-Learning, Education, Mobile, Higher Education",Education
181,2016-06-09,SpacePointe,1200000,Seed,Undisclosed,Nigeria,Nigeria,"FinTech, Government, Retail, Retail Technology, Small and Medium Businesses",Financial Services
